label,perplexity,early_exaggeration,learning_rate,metric,init,trustworthiness,common_family_silhouette,centroid_sep_ratio,median_nn,p05_nn,rounded_0_unique
p5_ee24_auto_euc,5,24,auto,euclidean,pca,0.8604046133484591,-0.012837020680308342,8.539751440218147,1.5294442176818848,1.000150203704834,123
p8_ee36_auto_euc,8,36,auto,euclidean,pca,0.882170542635659,-0.015400274656713009,7.689773346840412,1.1043288707733154,0.5370383262634277,117
p10_ee24_cosine,10,24,auto,cosine,pca,0.8539459255057666,-0.016779925674200058,6.145192431915205,0.7684211730957031,0.41709670424461365,102
p12_ee24_auto_euc,12,24,auto,euclidean,pca,0.8929627528833428,-0.02650761976838112,7.00819561451569,0.8595789670944214,0.0771040990948677,111
p8_ee24_auto_euc,8,24,auto,euclidean,pca,0.8920476460578559,-0.03013838455080986,7.839024705467707,1.2343157529830933,0.6399622559547424,121
p5_ee12_auto_euc,5,12,auto,euclidean,pca,0.8651540934013991,-0.03033045493066311,10.022525590879134,1.558894157409668,1.0138143301010132,123
p8_ee24_lr50_euc,8,24,50,euclidean,pca,0.8843259595386652,-0.030581647530198097,7.772612253934579,1.5617318153381348,0.9779977798461914,123
p8_ee12_auto_euc,8,12,auto,euclidean,pca,0.8974777840801664,-0.03409954905509949,7.331457587484333,1.2794148921966553,0.7187909483909607,121
p10_ee36_auto_euc,10,36,auto,euclidean,pca,0.8951635469843071,-0.039120882749557495,7.472820967416455,1.3742127418518066,0.8006585836410522,121
p10_ee24_auto_euc,10,24,auto,euclidean,pca,0.88712422007941,-0.03923933953046799,6.93718147111001,1.9549411535263062,1.3157981634140015,122
p15_ee24_auto_euc,15,24,auto,euclidean,pca,0.8981357534505577,-0.042147599160671234,6.527381718171995,0.7455542087554932,0.03658922016620636,102
p10_ee12_auto_euc,10,12,auto,euclidean,pca,0.8902552467385139,-0.047999896109104156,7.237717258710035,1.505792498588562,0.9207550883293152,121
